걸음;타임스탬프;날짜;시간
736;1539309660000;2018. 10. 12.;오전 11:01:00
736;1539310260000;2018. 10. 12.;오전 11:11:00
736;1539310860000;2018. 10. 12.;오전 11:21:00
736;1539311460000;2018. 10. 12.;오전 11:31:00
736;1539312060000;2018. 10. 12.;오전 11:41:00
736;1539312660000;2018. 10. 12.;오전 11:51:00
736;1539313260000;2018. 10. 12.;오후 12:01:00
736;1539313860000;2018. 10. 12.;오후 12:11:00
736;1539314460000;2018. 10. 12.;오후 12:21:00
736;1539315060000;2018. 10. 12.;오후 12:31:00
736;1539315660000;2018. 10. 12.;오후 12:41:00
736;1539316260000;2018. 10. 12.;오후 12:51:00
736;1539316860000;2018. 10. 12.;오후 1:01:00
736;1539317460000;2018. 10. 12.;오후 1:11:00
736;1539318060000;2018. 10. 12.;오후 1:21:00
736;1539318660000;2018. 10. 12.;오후 1:31:00
736;1539319260000;2018. 10. 12.;오후 1:41:00
736;1539319860000;2018. 10. 12.;오후 1:51:00
736;1539320460000;2018. 10. 12.;오후 2:01:00
736;1539321060000;2018. 10. 12.;오후 2:11:00
826;1539321660000;2018. 10. 12.;오후 2:21:00
826;1539322260000;2018. 10. 12.;오후 2:31:00
826;1539322860000;2018. 10. 12.;오후 2:41:00
826;1539323460000;2018. 10. 12.;오후 2:51:00
879;1539324060000;2018. 10. 12.;오후 3:01:00
1005;1539324660000;2018. 10. 12.;오후 3:11:00
1005;1539325260000;2018. 10. 12.;오후 3:21:00
1066;1539325860000;2018. 10. 12.;오후 3:31:00
1066;1539326460000;2018. 10. 12.;오후 3:41:00
1066;1539327060000;2018. 10. 12.;오후 3:51:00
1066;1539327660000;2018. 10. 12.;오후 4:01:00
1135;1539328260000;2018. 10. 12.;오후 4:11:00
1299;1539328860000;2018. 10. 12.;오후 4:21:00
1516;1539329460000;2018. 10. 12.;오후 4:31:00
1808;1539330060000;2018. 10. 12.;오후 4:41:00
2533;1539330660000;2018. 10. 12.;오후 4:51:00
2969;1539331260000;2018. 10. 12.;오후 5:01:00
2978;1539331860000;2018. 10. 12.;오후 5:11:00
2978;1539332460000;2018. 10. 12.;오후 5:21:00
2978;1539333060000;2018. 10. 12.;오후 5:31:00
2978;1539333660000;2018. 10. 12.;오후 5:41:00
2978;1539334260000;2018. 10. 12.;오후 5:51:00
2978;1539334860000;2018. 10. 12.;오후 6:01:00
2978;1539335460000;2018. 10. 12.;오후 6:11:00
2978;1539336060000;2018. 10. 12.;오후 6:21:00
2978;1539336660000;2018. 10. 12.;오후 6:31:00
2978;1539337260000;2018. 10. 12.;오후 6:41:00
2978;1539337860000;2018. 10. 12.;오후 6:51:00
2978;1539338460000;2018. 10. 12.;오후 7:01:00
2978;1539339060000;2018. 10. 12.;오후 7:11:00
2978;1539339660000;2018. 10. 12.;오후 7:21:00
2988;1539340260000;2018. 10. 12.;오후 7:31:00
3067;1539340860000;2018. 10. 12.;오후 7:41:00
3067;1539341460000;2018. 10. 12.;오후 7:51:00
3067;1539342060000;2018. 10. 12.;오후 8:01:00
3067;1539342660000;2018. 10. 12.;오후 8:11:00
3067;1539343260000;2018. 10. 12.;오후 8:21:00
3067;1539343860000;2018. 10. 12.;오후 8:31:00
3067;1539344460000;2018. 10. 12.;오후 8:41:00
3067;1539345060000;2018. 10. 12.;오후 8:51:00
3067;1539345660000;2018. 10. 12.;오후 9:01:00
3067;1539346260000;2018. 10. 12.;오후 9:11:00
3246;1539346860000;2018. 10. 12.;오후 9:21:00
3246;1539347460000;2018. 10. 12.;오후 9:31:00
3275;1539348060000;2018. 10. 12.;오후 9:41:00
3275;1539348660000;2018. 10. 12.;오후 9:51:00
3275;1539349260000;2018. 10. 12.;오후 10:01:00
3275;1539349860000;2018. 10. 12.;오후 10:11:00
3275;1539350460000;2018. 10. 12.;오후 10:21:00
3275;1539351060000;2018. 10. 12.;오후 10:31:00
3275;1539351660000;2018. 10. 12.;오후 10:41:00
3275;1539352260000;2018. 10. 12.;오후 10:51:00
3408;1539352860000;2018. 10. 12.;오후 11:01:00
4320;1539353460000;2018. 10. 12.;오후 11:11:00
4343;1539354060000;2018. 10. 12.;오후 11:21:00
4343;1539354660000;2018. 10. 12.;오후 11:31:00
4343;1539355260000;2018. 10. 12.;오후 11:41:00
4343;1539355860000;2018. 10. 12.;오후 11:51:00
4343;1539356340000;2018. 10. 12.;오후 11:59:00
0;1539356803002;2018. 10. 13.;오전 12:06:43
15;1539356940000;2018. 10. 13.;오전 12:09:00
15;1539357060000;2018. 10. 13.;오전 12:11:00
15;1539357660000;2018. 10. 13.;오전 12:21:00
15;1539358260000;2018. 10. 13.;오전 12:31:00
15;1539358860000;2018. 10. 13.;오전 12:41:00
15;1539359460000;2018. 10. 13.;오전 12:51:00
15;1539360060000;2018. 10. 13.;오전 1:01:00
35;1539360660000;2018. 10. 13.;오전 1:11:00
