걸음;타임스탬프;날짜;시간
227;1551492540000;2019. 3. 2.;오전 11:09:00
227;1551493140000;2019. 3. 2.;오전 11:19:00
227;1551493740000;2019. 3. 2.;오전 11:29:00
227;1551494340000;2019. 3. 2.;오전 11:39:00
250;1551494940000;2019. 3. 2.;오전 11:49:00
250;1551495540000;2019. 3. 2.;오전 11:59:00
250;1551496140000;2019. 3. 2.;오후 12:09:00
250;1551496740000;2019. 3. 2.;오후 12:19:00
250;1551497340000;2019. 3. 2.;오후 12:29:00
250;1551497940000;2019. 3. 2.;오후 12:39:00
250;1551498540000;2019. 3. 2.;오후 12:49:00
250;1551499140000;2019. 3. 2.;오후 12:59:00
250;1551499740000;2019. 3. 2.;오후 1:09:00
261;1551500340000;2019. 3. 2.;오후 1:19:00
261;1551500940000;2019. 3. 2.;오후 1:29:00
261;1551501540000;2019. 3. 2.;오후 1:39:00
261;1551502140000;2019. 3. 2.;오후 1:49:00
261;1551502740000;2019. 3. 2.;오후 1:59:00
297;1551503340000;2019. 3. 2.;오후 2:09:00
333;1551503940000;2019. 3. 2.;오후 2:19:00
333;1551504540000;2019. 3. 2.;오후 2:29:00
333;1551505140000;2019. 3. 2.;오후 2:39:00
333;1551505740000;2019. 3. 2.;오후 2:49:00
369;1551506340000;2019. 3. 2.;오후 2:59:00
369;1551506940000;2019. 3. 2.;오후 3:09:00
369;1551507540000;2019. 3. 2.;오후 3:19:00
369;1551508140000;2019. 3. 2.;오후 3:29:00
406;1551508740000;2019. 3. 2.;오후 3:39:00
406;1551509340000;2019. 3. 2.;오후 3:49:00
406;1551509940000;2019. 3. 2.;오후 3:59:00
406;1551510540000;2019. 3. 2.;오후 4:09:00
406;1551511140000;2019. 3. 2.;오후 4:19:00
406;1551511740000;2019. 3. 2.;오후 4:29:00
406;1551512340000;2019. 3. 2.;오후 4:39:00
406;1551512940000;2019. 3. 2.;오후 4:49:00
406;1551513540000;2019. 3. 2.;오후 4:59:00
406;1551514140000;2019. 3. 2.;오후 5:09:00
406;1551514740000;2019. 3. 2.;오후 5:19:00
406;1551515340000;2019. 3. 2.;오후 5:29:00
406;1551515940000;2019. 3. 2.;오후 5:39:00
406;1551516540000;2019. 3. 2.;오후 5:49:00
406;1551517140000;2019. 3. 2.;오후 5:59:00
406;1551517740000;2019. 3. 2.;오후 6:09:00
406;1551518340000;2019. 3. 2.;오후 6:19:00
406;1551518940000;2019. 3. 2.;오후 6:29:00
406;1551519540000;2019. 3. 2.;오후 6:39:00
406;1551520140000;2019. 3. 2.;오후 6:49:00
406;1551520740000;2019. 3. 2.;오후 6:59:00
406;1551521340000;2019. 3. 2.;오후 7:09:00
406;1551521940000;2019. 3. 2.;오후 7:19:00
432;1551522540000;2019. 3. 2.;오후 7:29:00
432;1551523140000;2019. 3. 2.;오후 7:39:00
432;1551523740000;2019. 3. 2.;오후 7:49:00
432;1551524340000;2019. 3. 2.;오후 7:59:00
432;1551524940000;2019. 3. 2.;오후 8:09:00
432;1551525540000;2019. 3. 2.;오후 8:19:00
432;1551526140000;2019. 3. 2.;오후 8:29:00
466;1551526740000;2019. 3. 2.;오후 8:39:00
466;1551527340000;2019. 3. 2.;오후 8:49:00
482;1551527940000;2019. 3. 2.;오후 8:59:00
499;1551528540000;2019. 3. 2.;오후 9:09:00
499;1551529140000;2019. 3. 2.;오후 9:19:00
499;1551529740000;2019. 3. 2.;오후 9:29:00
499;1551530340000;2019. 3. 2.;오후 9:39:00
499;1551530940000;2019. 3. 2.;오후 9:49:00
499;1551531540000;2019. 3. 2.;오후 9:59:00
544;1551532140000;2019. 3. 2.;오후 10:09:00
616;1551532740000;2019. 3. 2.;오후 10:19:00
616;1551533340000;2019. 3. 2.;오후 10:29:00
626;1551533940000;2019. 3. 2.;오후 10:39:00
626;1551534540000;2019. 3. 2.;오후 10:49:00
626;1551535140000;2019. 3. 2.;오후 10:59:00
626;1551535740000;2019. 3. 2.;오후 11:09:00
652;1551536340000;2019. 3. 2.;오후 11:19:00
700;1551536940000;2019. 3. 2.;오후 11:29:00
700;1551537540000;2019. 3. 2.;오후 11:39:00
700;1551538140000;2019. 3. 2.;오후 11:49:00
700;1551538740000;2019. 3. 2.;오후 11:59:00
700;1551538824600;2019. 3. 3.;오전 12:00:24
0;1551539340000;2019. 3. 3.;오전 12:09:00
0;1551539460000;2019. 3. 3.;오전 12:11:00
0;1551540060000;2019. 3. 3.;오전 12:21:00
0;1551540660000;2019. 3. 3.;오전 12:31:00
0;1551541260000;2019. 3. 3.;오전 12:41:00
0;1551541860000;2019. 3. 3.;오전 12:51:00
0;1551542460000;2019. 3. 3.;오전 1:01:00
10;1551543060000;2019. 3. 3.;오전 1:11:00
10;1551543660000;2019. 3. 3.;오전 1:21:00
10;1551544260000;2019. 3. 3.;오전 1:31:00
10;1551544860000;2019. 3. 3.;오전 1:41:00
10;1551545460000;2019. 3. 3.;오전 1:51:00
10;1551546060000;2019. 3. 3.;오전 2:01:00
10;1551546660000;2019. 3. 3.;오전 2:11:00
10;1551547260000;2019. 3. 3.;오전 2:21:00
28;1551547860000;2019. 3. 3.;오전 2:31:00
64;1551548460000;2019. 3. 3.;오전 2:41:00
64;1551549060000;2019. 3. 3.;오전 2:51:00
64;1551549660000;2019. 3. 3.;오전 3:01:00
64;1551550260000;2019. 3. 3.;오전 3:11:00
64;1551550860000;2019. 3. 3.;오전 3:21:00
64;1551551460000;2019. 3. 3.;오전 3:31:00
64;1551552060000;2019. 3. 3.;오전 3:41:00
64;1551552660000;2019. 3. 3.;오전 3:51:00
80;1551553260000;2019. 3. 3.;오전 4:01:00
80;1551553860000;2019. 3. 3.;오전 4:11:00
80;1551554460000;2019. 3. 3.;오전 4:21:00
80;1551555060000;2019. 3. 3.;오전 4:31:00
80;1551555660000;2019. 3. 3.;오전 4:41:00
80;1551556260000;2019. 3. 3.;오전 4:51:00
80;1551556860000;2019. 3. 3.;오전 5:01:00
80;1551557460000;2019. 3. 3.;오전 5:11:00
105;1551558060000;2019. 3. 3.;오전 5:21:00
105;1551558660000;2019. 3. 3.;오전 5:31:00
105;1551559260000;2019. 3. 3.;오전 5:41:00
105;1551559860000;2019. 3. 3.;오전 5:51:00
105;1551560460000;2019. 3. 3.;오전 6:01:00
105;1551561060000;2019. 3. 3.;오전 6:11:00
128;1551561660000;2019. 3. 3.;오전 6:21:00
128;1551562260000;2019. 3. 3.;오전 6:31:00
128;1551562860000;2019. 3. 3.;오전 6:41:00
128;1551563460000;2019. 3. 3.;오전 6:51:00
128;1551564060000;2019. 3. 3.;오전 7:01:00
128;1551564660000;2019. 3. 3.;오전 7:11:00
128;1551565260000;2019. 3. 3.;오전 7:21:00
